adm1_tr,adm1_en,adm1,Shape_Leng,Shape_Area,adm0_en,adm0_tr,adm0
ADANA,ADANA,TUR001,8.27178643039,1.40708347359,TURKEY,TÜRKİYE,TUR
ADIYAMAN,ADIYAMAN,TUR002,5.49442178803,0.750560939348,TURKEY,TÜRKİYE,TUR
AFYONKARAHİSAR,AFYONKARAHISAR,TUR003,7.1499961062,1.45006387551,TURKEY,TÜRKİYE,TUR
AĞRI,AGRI,TUR004,6.58830406589,1.16317004258,TURKEY,TÜRKİYE,TUR
AKSARAY,AKSARAY,TUR068,4.43250892315,0.790387608376,TURKEY,TÜRKİYE,TUR
AMASYA,AMASYA,TUR005,4.90440261243,0.599725469809,TURKEY,TÜRKİYE,TUR
ANKARA,ANKARA,TUR006,11.8229142607,2.69568574439,TURKEY,TÜRKİYE,TUR
ANTALYA,ANTALYA,TUR007,11.9354034826,2.03826190009,TURKEY,TÜRKİYE,TUR
ARDAHAN,ARDAHAN,TUR075,4.22517720625,0.529206090733,TURKEY,TÜRKİYE,TUR
ARTVİN,ARTVIN,TUR008,4.69997912893,0.792866514363,TURKEY,TÜRKİYE,TUR
AYDIN,AYDIN,TUR009,6.5383034486,0.825567077091,TURKEY,TÜRKİYE,TUR
BALIKESİR,BALIKESIR,TUR010,12.3157475473,1.5336854155,TURKEY,TÜRKİYE,TUR
BARTIN,BARTIN,TUR074,2.8846528767,0.251564275751,TURKEY,TÜRKİYE,TUR
BATMAN,BATMAN,TUR072,3.765845229,0.459007018579,TURKEY,TÜRKİYE,TUR
BAYBURT,BAYBURT,TUR069,3.17142115975,0.396476820235,TURKEY,TÜRKİYE,TUR
BİLECİK,BILECIK,TUR011,3.41450846394,0.441396357224,TURKEY,TÜRKİYE,TUR
BİNGÖL,BINGOL,TUR012,5.26899389944,0.832832531903,TURKEY,TÜRKİYE,TUR
BİTLİS,BITLIS,TUR013,5.15967539414,0.85692744713,TURKEY,TÜRKİYE,TUR
BOLU,BOLU,TUR014,5.43072562745,0.884381207904,TURKEY,TÜRKİYE,TUR
BURDUR,BURDUR,TUR015,5.00548873716,0.730319706062,TURKEY,TÜRKİYE,TUR
